pdb_id,pfam_accession,pfam_name,pfam_clan_name,pfam_description,interpro_accession,interpro_name,cath_code,cath_class,cath_architecture,cath_topology,cath_homologous_superfamily,ec_number,enzyme_name,enzyme_systematic_name,ec_hierarchy_name,go_id,biological_process,biological_function,biological_cell_component,scop_class,scop_fold,scop_superfamily,scop_family,uniprot_accession,uniprot_id,uniprot_coverage,bmrb_id,emdb_id,model_quality,data_quality,r_factor,resolution,r_free,entity_id
2n3y,PF00034,Cytochrom_C,Cytochrome-c,Cytochrome c,"IPR036909,IPR002327,IPR009056","Cytochrome c-like domain superfamily,Cytochrome c\, class IA/ IB,Cytochrome c-like domain",1.10.760.10,Mainly Alpha,Orthogonal Bundle,"Cytochrome Bc1 Complex; Chain D\, domain 2",Cytochrome c-like domain,,,,,"GO:0006123,GO:0045333,GO:0008635,GO:0043280,GO:0006915,GO:0006122,GO:0055114,GO:0034599,GO:0006470,GO:0007005,GO:0004722,GO:0005515,GO:0046872,GO:0009055,GO:0045155,GO:0020037,GO:0005743,GO:0005634,GO:0000159,GO:0005758,GO:0005739,GO:0070469,GO:0005829","mitochondrial electron transport\, cytochrome c to oxygen,cellular respiration,activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,apoptotic process,mitochondrial electron transport\, ubiquinol to cytochrome c,oxidation-reduction process,cellular response to oxidative stress,protein dephosphorylation,mitochondrion organization","protein serine/threonine phosphatase activity,protein binding,metal ion binding,electron transfer activity,electron transporter\, transferring electrons from CoQH2-cytochrome c reductase complex and cytochrome c oxidase complex activity,heme binding","mitochondrial inner membrane,nucleus,protein phosphatase type 2A complex,mitochondrial intermembrane space,mitochondrion,respirasome,cytosol",,,,,P99999,CYC_HUMAN,0.99,"18828,26578,25660",,26.25,-1.0,,,,1
2lvt,PF00096,zf-C2H2,C2H2-zf,"Zinc finger\, C2H2 type","IPR036236,IPR013087","Zinc finger C2H2 superfamily,Zinc finger C2H2-type",,,,,,,,,,GO:0003676,,nucleic acid binding,,,,,,"Q13105,Q13105-3,Q13105-2","ZBT17_HUMAN,ZBT17_HUMAN,ZBT17_HUMAN",0.1,18586,,31.91,-1.0,,,,1
2mv7,PF17793,AHD,BET,ANC1 homology domain (AHD),"IPR040930,IPR005033","AF-9\, ANC1 homology domain,YEATS",,,,,,,,,,GO:0006355,"regulation of transcription\, DNA-templated",,,,,,,"P42568,P42568-2","AF9_HUMAN,AF9_HUMAN",0.12,19516,,13.18,-1.0,,,,1
1xna,PF01834,XRCC1_N,GBD,XRCC1 N terminal domain,"IPR008979,IPR002706","Galactose-binding-like domain superfamily,DNA-repair protein Xrcc1\, N-terminal",2.60.120.260,Mainly Beta,Sandwich,Jelly Rolls,Galactose-binding domain-like,,,,,"GO:0000012,GO:0003684,GO:0005634",single strand break repair,damaged DNA binding,nucleus,All beta proteins,Galactose-binding domain-like,Galactose-binding domain-like,N-terminal domain of xrcc1,P18887,XRCC1_HUMAN,0.29,,,4.46,-1.0,,,,1
2mxw,PF17780,OCRE,,OCRE domain,"IPR041591,IPR033095","OCRE domain,RNA-binding protein 10",,,,,,,,,,"GO:0000381,GO:0042981,GO:0008380","regulation of alternative mRNA splicing\, via spliceosome,regulation of apoptotic process,RNA splicing",,,,,,,"P98175,P98175-4,P98175-3,P98175-5,P98175-2","RBM10_HUMAN,RBM10_HUMAN,RBM10_HUMAN,RBM10_HUMAN,RBM10_HUMAN",0.1,25434,,27.45,-1.0,,,,1
2dkp,PF00169,PH,PH,PH domain,"IPR001849,IPR011993,IPR040392","Pleckstrin homology domain,PH-like domain superfamily,PKHA4/5/6/7\, PH domain",2.30.29.30,Mainly Beta,Roll,PH-domain like,Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB),,,,,,,,,,,,,"Q9HAU0,Q9HAU0-5,Q9HAU0-3,Q9HAU0-4,Q9HAU0-8,Q9HAU0-2,Q9HAU0-6","PKHA5_HUMAN,PKHA5_HUMAN,PKHA5_HUMAN,PKHA5_HUMAN,PKHA5_HUMAN,PKHA5_HUMAN,PKHA5_HUMAN",0.1,,,14.76,-1.0,,,,1
1t2m,PF00595,PDZ,PDZ-like,PDZ domain,"IPR036034,IPR001478","PDZ superfamily,PDZ domain","2.30.42.10,2.30.42.10","Mainly Beta,Mainly Beta","Roll,Roll","Pdz3 Domain,Pdz3 Domain","PDZ domain,Pdz3 Domain",,,,,,,,,All beta proteins,PDZ domain-like,PDZ domain-like,PDZ domain,"P55196,P55196-2,P55196-3,P55196-6,P55196-5,P55196-1","AFAD_HUMAN,AFAD_HUMAN,AFAD_HUMAN,AFAD_HUMAN,AFAD_HUMAN,AFAD_HUMAN",0.05,,,7.22,-1.0,,,,1
2edn,PF07679,I-set,Ig,Immunoglobulin I-set domain,"IPR003599,IPR013098,IPR013783,IPR036179","Immunoglobulin subtype,Immunoglobulin I-set,Immunoglobulin-like fold,Immunoglobulin-like domain superfamily",2.60.40.10,Mainly Beta,Sandwich,Immunoglobulin-like,Immunoglobulins,,,,,,,,,,,,,Q14324,MYPC2_HUMAN,0.1,,,18.38,-1.0,,,,1
2ezz,PF02961,BAF,,Barrier to autointegration factor,"IPR036617,IPR004122","Barrier-to-autointegration factor\, BAF superfamily,Barrier- to-autointegration factor\, BAF",1.10.150.40,Mainly Alpha,Orthogonal Bundle,DNA polymerase; domain 1,"Barrier-to-autointegration factor\, BAF",,,,,"GO:0075713,GO:0007059,GO:0009615,GO:0051169,GO:0016032,GO:0007084,GO:0045071,GO:0030261,GO:0047485,GO:0008022,GO:0005515,GO:0097726,GO:0042803,GO:0019899,GO:0003677,GO:0042802,GO:0005634,GO:0005654,GO:0005635,GO:0005737,GO:0005694,GO:0005829","establishment of integrated proviral latency,chromosome segregation,response to virus,nuclear transport,viral process,mitotic nuclear envelope reassembly,negative regulation of viral genome replication,chromosome condensation","protein N-terminus binding,protein C-terminus binding,protein binding,LEM domain binding,protein homodimerization activity,enzyme binding,DNA binding,identical protein binding","nucleus,nucleoplasm,nuclear envelope,cytoplasm,chromosome,cytosol",All alpha proteins,SAM domain-like,"Barrier-to-autointegration factor\, BAF","Barrier-to-autointegration factor\, BAF",O75531,BAF_HUMAN,1.0,,,34.16,-1.0,,,,1
2mv7,,,,,,,,,,,,2.1.1.360,[Histone H3]-lysine(79) N-trimethyltransferase,S-adenosyl-L-methionine:[histone H3]-L-lysine(79) N(6)-trimethyltransferase,"Transferases,Transferring one-carbon groups,Methyltransferases,[Histone H3]-lysine(79) N-trimethyltransferase",,,,,,,,,"Q8TEK3,Q8TEK3-1","DOT1L_HUMAN,DOT1L_HUMAN",0.02,19516,,13.18,-1.0,,,,2
2lon,PF04588,HIG_1_N,,Hypoxia induced protein conserved region,IPR007667,"Hypoxia induced protein\, domain",6.10.140.1320,,,,,,,,,"GO:0016020,GO:0016021",,,"membrane,integral component of membrane",,,,,Q9P298,HIG1B_HUMAN,1.0,18218,,1.27,-1.0,,,,1
2n1d,,,,,"IPR008676,IPR026541,IPR038217,IPR038011","MRG,MRG domain,MRG\, C-terminal domain superfamily,Mortality factor 4-like protein 1","1.10.274.30,1.10.274.30","Mainly Alpha,Mainly Alpha","Orthogonal Bundle,Orthogonal Bundle","Enzyme I; Chain A\, domain 2,Enzyme I; Chain A\, domain 2","Enzyme I; Chain A\, domain 2,MRG domain",,,,,"GO:0006325,GO:0006355,GO:0005634,GO:0016580,GO:0035267","chromatin organization,regulation of transcription\, DNA-templated",,"nucleus,Sin3 complex,NuA4 histone acetyltransferase complex",,,,,"Q9UBU8,Q9UBU8-3,Q9UBU8-2","MO4L1_HUMAN,MO4L1_HUMAN,MO4L1_HUMAN",0.47,25556,,33.32,-1.0,,,,2
2jx3,,,,,"IPR003034,IPR036361","SAP domain,SAP domain superfamily",,,,,,,,,,,,,,,,,,"P35659,P35659-2","DEK_HUMAN,DEK_HUMAN",0.35,,,1.04,-1.0,,,,1
5xk4,PF00240,ubiquitin,Ubiquitin,Ubiquitin family,"IPR019956,IPR029071,IPR000626","Ubiquitin domain,Ubiquitin-like domain superfamily,Ubiquitin-like domain",,,,,,,,,,,,,,,,,,P0CG47,UBB_HUMAN,0.33,36081,,21.51,-1.0,,,,1
2d9h,PF00096,zf-C2H2,C2H2-zf,"Zinc finger\, C2H2 type","IPR036236,IPR013087","Zinc finger C2H2 superfamily,Zinc finger C2H2-type",3.30.160.60,Alpha Beta,2-Layer Sandwich,Double Stranded RNA Binding Domain,Classic Zinc Finger,,,,,GO:0003676,,nucleic acid binding,,,,,,"Q9BU19,Q9BU19-5,Q9BU19-2,Q9BU19-4,Q9BU19-3","ZN692_HUMAN,ZN692_HUMAN,ZN692_HUMAN,ZN692_HUMAN,ZN692_HUMAN",0.13,,,10.8,-1.0,,,,1
2loh,,,,,"IPR008155,IPR037071,IPR028866,IPR013803","Amyloidogenic glycoprotein,Amyloidogenic glycoprotein\, amyloid-beta peptide superfamily,Amyloid-beta precursor protein,Amyloidogenic glycoprotein\, amyloid-beta peptide",6.10.250.1670,,,,,,,,,"GO:0007399,GO:0016021",nervous system development,,integral component of membrane,,,,,"P05067,P05067-10,P05067-7,P05067-6,P05067-4,P05067-9,P05067-5,P05067-3,P05067-11,P05067-8","A4_HUMAN,A4_HUMAN,A4_HUMAN,A4_HUMAN,A4_HUMAN,A4_HUMAN,A4_HUMAN,A4_HUMAN,A4_HUMAN,A4_HUMAN",0.05,18080,,11.03,-1.0,,,,1
2dav,PF07679,I-set,Ig,Immunoglobulin I-set domain,"IPR003599,IPR013098,IPR013783,IPR036179","Immunoglobulin subtype,Immunoglobulin I-set,Immunoglobulin-like fold,Immunoglobulin-like domain superfamily",2.60.40.10,Mainly Beta,Sandwich,Immunoglobulin-like,Immunoglobulins,,,,,,,,,All beta proteins,Immunoglobulin-like beta-sandwich,Immunoglobulin,I set domains,"Q00872,Q00872-6,Q00872-7,Q00872-9,Q00872-10,Q00872-5,Q00872-4,Q00872-8,Q00872-3,Q00872-2","MYPC1_HUMAN,MYPC1_HUMAN,MYPC1_HUMAN,MYPC1_HUMAN,MYPC1_HUMAN,MYPC1_HUMAN,MYPC1_HUMAN,MYPC1_HUMAN,MYPC1_HUMAN,MYPC1_HUMAN",0.1,,,14.76,-1.0,,,,1
5n5a,,,,,"IPR001084,IPR027324","Microtubule associated protein\,  tubulin-binding repeat,Microtubule associated protein MAP2/MAP4/Tau",,,,,,,,,,"GO:0008017,GO:0015631",,"microtubule binding,tubulin binding",,,,,,"P10636,P10636-7,P10636-8,P10636-4,P10636-9,P10636-5,P10636-6,P10636-3,P10636-2","TAU_HUMAN,TAU_HUMAN,TAU_HUMAN,TAU_HUMAN,TAU_HUMAN,TAU_HUMAN,TAU_HUMAN,TAU_HUMAN,TAU_HUMAN",0.05,34098,,0.64,-1.0,,,,1
1rsf,PF07686,V-set,Ig,Immunoglobulin V-set domain,"IPR013106,IPR003599,IPR013783,IPR036179","Immunoglobulin V-set domain,Immunoglobulin subtype,Immunoglobulin-like fold,Immunoglobulin-like domain superfamily",2.60.40.10,Mainly Beta,Sandwich,Immunoglobulin-like,Immunoglobulins,,,,,,,,,All beta proteins,Immunoglobulin-like beta-sandwich,Immunoglobulin,V set domains (antibody variable domain-like),"P78310,P78310-3,P78310-5,P78310-6,P78310-4,P78310-2,P78310-7","CXAR_HUMAN,CXAR_HUMAN,CXAR_HUMAN,CXAR_HUMAN,CXAR_HUMAN,CXAR_HUMAN,CXAR_HUMAN",0.36,,,2.52,-1.0,,,,1
1z6v,,,,,IPR001156,Transferrin-like domain,,,,,,,,,,,,,,,,,,"P02788,P02788-2","TRFL_HUMAN,TRFL_HUMAN",0.07,,,2.22,-1.0,,,,1
5xme,PF00531,Death,Death,Death domain,"IPR000488,IPR035712,IPR011029","Death domain,TRADD,Death-like domain superfamily",,,,,,,,,,GO:0007165,signal transduction,,,,,,,"Q15628,Q15628-2","TRADD_HUMAN,TRADD_HUMAN",0.37,36084,,3.62,-1.0,,,,1
2dmh,PF00168,C2,C2,C2 domain,"IPR035892,IPR029999,IPR000008,IPR037721,IPR037726","C2 domain superfamily,Myoferlin,C2 domain,Ferlin  family,Ferlin\, first C2 domain",2.60.40.150,Mainly Beta,Sandwich,Immunoglobulin-like,C2 domain,,,,,GO:0007520,myoblast fusion,,,,,,,"Q9NZM1,Q9NZM1-2,Q9NZM1-4,Q9NZM1-3,Q9NZM1-7,Q9NZM1-6,Q9NZM1-8,Q9NZM1-5","MYOF_HUMAN,MYOF_HUMAN,MYOF_HUMAN,MYOF_HUMAN,MYOF_HUMAN,MYOF_HUMAN,MYOF_HUMAN,MYOF_HUMAN",0.06,,,14.35,-1.0,,,,1
5yj5,,,,,"IPR022416,IPR000817,IPR036924","Prion/Doppel protein\, beta-ribbon domain,Prion protein,Prion/Doppel beta-ribbon domain superfamily",,,,,,,,,,"GO:0051260,GO:0016020",protein homooligomerization,,membrane,,,,,P04156,PRIO_HUMAN,0.61,36123,,1.72,-1.0,,,,1
1yzc,,,,,"IPR009155,IPR010980","Cytochrome b562,Cytochrome c/b562",1.20.120.10,Mainly Alpha,Up-down Bundle,"Four Helix Bundle (Hemerythrin (Met)\, subunit A)",Cytochrome c/b562,,,,,"GO:0022900,GO:0005506,GO:0009055,GO:0046872,GO:0020037,GO:0042597",electron transport chain,"iron ion binding,electron transfer activity,metal ion binding,heme binding",periplasmic space,,,,,Q0SXH8,Q0SXH8_SHIF8,0.98,,,2.51,-1.0,,,,1
2ki4,PF00167,FGF,Trefoil,Fibroblast growth factor,"IPR002209,IPR028210,IPR008996","Fibroblast growth factor family,Fibroblast growth factor 1,Cytokine IL1/FGF",2.80.10.50,Mainly Beta,Trefoil,"Trefoil (Acidic Fibroblast Growth Factor\, subunit A)","Trefoil (Acidic Fibroblast Growth Factor\, subunit A)",,,,,"GO:0008543,GO:0005104,GO:0008083,GO:0005576",fibroblast growth factor receptor signaling pathway,"fibroblast growth factor receptor binding,growth factor activity",extracellular region,,,,,"P05230,P05230-2","FGF1_HUMAN,FGF1_HUMAN",0.86,,,5.31,-1.0,,,,1
2n05,PF00226,DnaJ,Chaperone-J,DnaJ domain,"IPR036869,IPR001623","Chaperone J-domain superfamily,DnaJ domain",1.10.287.110,Mainly Alpha,Orthogonal Bundle,Helix Hairpins,DnaJ domain,,,,,,,,,,,,,"Q9H3Z4,Q9H3Z4-2","DNJC5_HUMAN,DNJC5_HUMAN",0.51,25515,,12.77,-1.0,,,,1
2ki4,PF01023,S_100,EF_hand,S-100/ICaBP type calcium binding domain,"IPR011992,IPR013787,IPR028487","EF-hand domain pair,S100/CaBP-9k-type\, calcium binding\, subdomain,Protein S100-A13",1.10.238.10,Mainly Alpha,Orthogonal Bundle,Recoverin; domain 1,EF-hand,,,,,"GO:0050663,GO:0046688,GO:0015031,GO:0008284,GO:0043303,GO:0050703,GO:0043123,GO:0051602,GO:0008360,GO:0005509,GO:0005515,GO:0042803,GO:0017134,GO:0046872,GO:0008289,GO:0005507,GO:0008270,GO:0050786,GO:0005634,GO:0005730,GO:0005654,GO:0042629,GO:0048471,GO:0005615,GO:0005737,GO:0005886,GO:0005576,GO:0005829","cytokine secretion,response to copper ion,protein transport,positive regulation of cell population proliferation,mast cell degranulation,interleukin-1 alpha secretion,positive regulation of I-kappaB kinase/NF-kappaB signaling,response to electrical stimulus,regulation of cell shape","calcium ion binding,protein binding,protein homodimerization activity,fibroblast growth factor binding,metal ion binding,lipid binding,copper ion binding,zinc ion binding,RAGE receptor binding","nucleus,nucleolus,nucleoplasm,mast cell granule,perinuclear region of cytoplasm,extracellular space,cytoplasm,plasma membrane,extracellular region,cytosol",,,,,Q99584,S10AD_HUMAN,1.0,,,5.31,-1.0,,,,3
2ki4,PF01023,S_100,EF_hand,S-100/ICaBP type calcium binding domain,"IPR011992,IPR013787,IPR028487","EF-hand domain pair,S100/CaBP-9k-type\, calcium binding\, subdomain,Protein S100-A13",1.10.238.10,Mainly Alpha,Orthogonal Bundle,Recoverin; domain 1,EF-hand,,,,,"GO:0050663,GO:0046688,GO:0015031,GO:0008284,GO:0050703,GO:0043303,GO:0043123,GO:0051602,GO:0008360,GO:0005509,GO:0005515,GO:0017134,GO:0042803,GO:0046872,GO:0008289,GO:0050786,GO:0008270,GO:0005507,GO:0005634,GO:0005730,GO:0005654,GO:0042629,GO:0048471,GO:0005615,GO:0005737,GO:0005576,GO:0005886,GO:0005829","cytokine secretion,response to copper ion,protein transport,positive regulation of cell population proliferation,interleukin-1 alpha secretion,mast cell degranulation,positive regulation of I-kappaB kinase/NF-kappaB signaling,response to electrical stimulus,regulation of cell shape","calcium ion binding,protein binding,fibroblast growth factor binding,protein homodimerization activity,metal ion binding,lipid binding,RAGE receptor binding,zinc ion binding,copper ion binding","nucleus,nucleolus,nucleoplasm,mast cell granule,perinuclear region of cytoplasm,extracellular space,cytoplasm,extracellular region,plasma membrane,cytosol",,,,,Q99584,S10AD_HUMAN,1.0,,,5.31,-1.0,,,,2
1m39,PF13499,EF-hand_7,EF_hand,EF-hand domain pair,"IPR011992,IPR037629,IPR002048","EF-hand domain pair,Centrin 2,EF-hand domain",1.10.238.10,Mainly Alpha,Orthogonal Bundle,Recoverin; domain 1,EF-hand,,,,,GO:0005509,,calcium ion binding,,All alpha proteins,EF Hand-like,EF-hand,Calmodulin-like,P41208,CETN2_HUMAN,0.52,,,5.75,-1.0,,,,1
2cez,,,,,,,,,,,,,,,,,,,,,,,,"P13726,P13726-2","TF_HUMAN,TF_HUMAN",0.07,6996,,2.59,-1.0,,,,1
2ror,,,,,,,,,,,,,,,,,,,,,,,,Q13094,LCP2_HUMAN,0.03,,,9.53,-1.0,,,,2
1uew,PF00595,PDZ,PDZ-like,PDZ domain,"IPR036034,IPR030036,IPR001478","PDZ superfamily,Membrane-associated guanylate kinase\, WW and PDZ domain-containing protein 2,PDZ domain","2.30.42.10,2.30.42.10","Mainly Beta,Mainly Beta","Roll,Roll","Pdz3 Domain,Pdz3 Domain","PDZ domain,Pdz3 Domain",,,,,"GO:0007165,GO:0060090,GO:0005923",signal transduction,molecular adaptor activity,bicellular tight junction,All beta proteins,PDZ domain-like,PDZ domain-like,PDZ domain,"Q86UL8,Q86UL8-2","MAGI2_HUMAN,MAGI2_HUMAN",0.07,,,14.19,-1.0,,,,1
2h67,,,,,"IPR036438,IPR016179","Insulin-like superfamily,Insulin-like",,,,,,,,,,"GO:0005179,GO:0005576",,hormone activity,extracellular region,,,,,P01308,INS_HUMAN,0.24,,,1.47,-1.0,,,,1
1ghu,PF00017,SH2,SH2-like,SH2 domain,"IPR000980,IPR036860","SH2 domain,SH2 domain superfamily",3.30.505.10,Alpha Beta,2-Layer Sandwich,SHC Adaptor Protein,SH2 domain,,,,,,,,,Alpha and beta proteins (a+b),SH2-like,SH2 domain,SH2 domain,"P62993,P62993-2","GRB2_HUMAN,GRB2_HUMAN",0.47,,,23.85,-1.0,,,,1
2ytf,PF00096,zf-C2H2,C2H2-zf,"Zinc finger\, C2H2 type","IPR036236,IPR013087","Zinc finger C2H2 superfamily,Zinc finger C2H2-type",3.30.160.60,Alpha Beta,2-Layer Sandwich,Double Stranded RNA Binding Domain,Classic Zinc Finger,,,,,GO:0003676,,nucleic acid binding,,Designed proteins,Zinc finger design,Zinc finger design,Zinc finger design,"Q14587,Q14587-2,Q14587-8,Q14587-7,Q14587-6,Q14587-4,Q14587-3","ZN268_HUMAN,ZN268_HUMAN,ZN268_HUMAN,ZN268_HUMAN,ZN268_HUMAN,ZN268_HUMAN,ZN268_HUMAN",0.03,,,22.76,-1.0,,,,1
2d93,PF00027,cNMP_binding,Cupin,Cyclic nucleotide-binding domain,"IPR000595,IPR014710,IPR018490,IPR008937","Cyclic nucleotide-binding domain,RmlC-like jelly roll fold,Cyclic nucleotide-binding-like,Ras-like guanine nucleotide exchange factor",2.60.120.10,Mainly Beta,Sandwich,Jelly Rolls,Jelly Rolls,,,,,"GO:0007264,GO:0005085",small GTPase mediated signal transduction,guanyl-nucleotide exchange factor activity,,,,,,"Q8TEU7,Q8TEU7-4,Q8TEU7-3,Q8TEU7-2,Q8TEU7-5,Q8TEU7-6","RPGF6_HUMAN,RPGF6_HUMAN,RPGF6_HUMAN,RPGF6_HUMAN,RPGF6_HUMAN,RPGF6_HUMAN",0.08,,,16.1,-1.0,,,,1
1ov2,,,,,"IPR038003,IPR036744,IPR009066","Alpha-2-macroglobulin receptor-associated protein,RAP domain superfamily,Alpha-2-macroglobulin receptor-associated protein\, domain 1",1.20.81.10,Mainly Alpha,Up-down Bundle,Receptor-associated Protein,RAP domain,,,,,"GO:0050750,GO:0048019",,"low-density lipoprotein particle receptor binding,receptor antagonist activity",,All alpha proteins,RAP domain-like,RAP domain-like,RAP domain,P30533,AMRP_HUMAN,0.31,,,2.5,-1.0,,,,1
2ror,PF00017,SH2,SH2-like,SH2 domain,"IPR035879,IPR028530,IPR000980,IPR036860","VAV1\, SH2 domain,Protein vav1,SH2 domain,SH2 domain superfamily",3.30.505.10,Alpha Beta,2-Layer Sandwich,SHC Adaptor Protein,SH2 domain,,,,,GO:0007264,small GTPase mediated signal transduction,,,,,,,"P15498,P15498-2","VAV_HUMAN,VAV_HUMAN",0.15,,,9.53,-1.0,,,,1
2dk4,PF08799,PRP4,,pre-mRNA processing factor 4 (PRP4) like,"IPR014906,IPR036285,IPR039979","Pre-mRNA processing factor 4 (PRP4)-like,PRP4-like superfamily,Pre-mRNA-splicing factor 18","1.10.720.150,4.10.280.110",Mainly Alpha,Orthogonal Bundle,"Transcription Termination Factor Rho\, Rna-binding Domain; Chain A\, Domain 1","Transcription Termination Factor Rho\, Rna-binding Domain; Chain A\, Domain 1",,,,,GO:0008380,RNA splicing,,,All alpha proteins,LEM/SAP HeH motif,PRP4-like,PRP4-like,Q99633,PRP18_HUMAN,0.18,,,6.62,-1.0,,,,1
2ee7,PF06294,CH_2,CH,CH-like domain in sperm protein,"IPR010441,IPR036872","CH-like domain in sperm protein,CH domain superfamily",1.10.418.10,Mainly Alpha,Orthogonal Bundle,"Actin-binding Protein\, T-fimbrin; domain 1",Calponin-like domain,,,,,,,,,,,,,"Q9Y4P9,Q9Y4P9-2","SPEF1_HUMAN,SPEF1_HUMAN",0.51,,,24.62,-1.0,,,,1
2eee,PF01661,Macro,MACRO,Macro domain,IPR002589,Macro domain,3.40.220.10,Alpha Beta,3-Layer(aba) Sandwich,"Leucine Aminopeptidase\, subunit E; domain 1","Leucine Aminopeptidase\, subunit E\, domain 1",,,,,"GO:0140291,GO:0051725,GO:0042278,GO:0006974,GO:0005515,GO:0016787,GO:0001883,GO:0061463,GO:0140293,GO:0005634,GO:0005654,GO:0005730,GO:0090734,GO:0005694","peptidyl-glutamate ADP-deribosylation,protein de-ADP-ribosylation,purine nucleoside metabolic process,cellular response to DNA damage stimulus","protein binding,hydrolase activity,purine nucleoside binding,O-acetyl-ADP-ribose deacetylase activity,ADP-ribosylglutamate hydrolase activity","nucleus,nucleoplasm,nucleolus,site of DNA damage,chromosome",,,,,Q9Y530,OARD1_HUMAN,0.93,,,16.17,-1.0,,,,1
2co8,PF00412,LIM,Zn_Beta_Ribbon,LIM domain,"IPR029937,IPR001781","MICAL1,Zinc finger\, LIM-type",2.10.110.10,Mainly Beta,Ribbon,Cysteine Rich Protein,Cysteine Rich Protein,1.14.13.225,F-actin monooxygenase,"[F-actin]-L-methionine\,NADPH:O(2) S-oxidoreductase","Oxidoreductases,Acting on paired donors\, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O(2),With NADH or NADPH as one donor\, and incorporation of one atom of oxygen,F-actin monooxygenase","GO:0019417,GO:0030042,GO:0003779,GO:0016709,GO:0005737","sulfur oxidation,actin filament depolymerization","actin binding,oxidoreductase activity\, acting on paired donors\, with incorporation or reduction of molecular oxygen\, NAD(P)H as one donor\, and incorporation of one atom of oxygen",cytoplasm,Small proteins,Glucocorticoid receptor-like (DNA-binding domain),Glucocorticoid receptor-like (DNA-binding domain),LIM domain,"Q8TDZ2,Q8TDZ2-3,Q8TDZ2-2,Q8TDZ2-4","MICA1_HUMAN,MICA1_HUMAN,MICA1_HUMAN,MICA1_HUMAN",0.06,,,8.43,-1.0,,,,1
4bs2,PF00076,RRM_1,RRM,"RNA recognition motif. (a.k.a. RRM\, RBD\, or RNP domain)","IPR000504,IPR012677,IPR035979","RNA recognition motif domain,Nucleotide-binding alpha-beta plait domain superfamily,RNA-binding domain superfamily","3.30.70.330,3.30.70.330","Alpha Beta,Alpha Beta","2-Layer Sandwich,2-Layer Sandwich","Alpha-Beta Plaits,Alpha-Beta Plaits","Alpha-Beta Plaits,RRM (RNA recognition motif) domain",,,,,GO:0003676,,nucleic acid binding,,,,,,"Q13148,Q13148-4","TADBP_HUMAN,TADBP_HUMAN",0.41,19290,,16.57,-1.0,,,,1
